osm_way_id,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,std_dev_0,std_dev_1,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,std_dev_16,std_dev_17,std_dev_18,std_dev_19,std_dev_20,std_dev_21,std_dev_22,std_dev_23
432316786,32.2868336520076482,32.3859134948096886,32.5609689034369885,32.6283513513513514,32.6009249563699825,32.1410484140233723,32.0347797716150082,31.7708284789644013,31.1249891640866873,30.4366736214605067,30.3475000000000000,30.5192311046511628,31.0139377713458755,31.9926549707602339,32.9740029498525074,33.4077724137931034,33.8022892156862745,34.5967796052631579,34.0153970588235294,34.0350990990990991,34.0838666666666667,33.9015247524752475,33.1032606060606061,32.4558831521739130,14.1148663340841842,13.55132484993926027015,13.8553831983986674,14.47598946636828018818,14.52860589658998628905,13.7685502697591517,13.9720927372531172,13.8341096758213436,13.5730695620946885,13.21510254570851426079,13.7531691905171879,13.6896748563640151,13.61697817349444175699,13.8389024282849340,13.9978579815197604,13.03940927071891339319,13.42572852315474835708,13.7730460917233862,12.4568232532907639,12.4803339568969738,13.50710589183831538874,11.5906234995754603,11.16691387116693965149,12.3936623517477849
432316787,28.5246467661691542,29.1252490566037736,29.9431714285714286,29.9050321100917431,29.3295128205128205,29.0834017857142857,28.8436910994764398,28.4890448113207547,27.8462938689217759,27.1961305970149254,25.8129305084745763,25.1847738693467337,24.9062680067001675,27.3405333333333333,28.6768658008658009,29.3398531250000000,29.6171123595505618,30.5670458015267176,30.7507978723404255,31.3326724137931034,31.9751860465116279,31.4054629629629630,30.9818400000000000,27.4288474576271186,13.9152892397846216,14.03570164259699558537,14.1864895941442083,14.3228605882760955,13.8339609859374535,12.75289256602576567378,13.3454733206369440,13.18156685775525314553,12.8535008125187715,13.1625795904101031,13.7628806857861861,13.90242965883159823915,13.25171503789457204567,14.1454324504700389,13.41582050790904478673,13.0778913710314936,13.2637675619788455,11.8571438945421364,13.0654193616486984,13.6236028287117486,12.3599205423802579,13.1071325105130507,13.66203150999147710574,12.3453590216275750
432316788,33.8194009546539379,34.7771673913043478,35.2933642105263158,35.1595468750000000,35.4739593679458239,35.4463002309468822,35.5994068181818182,34.4705704697986577,34.7993427419354839,34.4517398373983740,33.4606342857142857,33.1826634429400387,32.9183041666666667,33.9112674698795181,34.1391130952380952,34.6871233480176211,36.1117404580152672,35.4051388888888889,34.4269000000000000,34.8409411764705882,33.8943750000000000,36.4626363636363636,35.3727521367521368,34.3338413173652695,13.63366813459591082182,12.2789691377078804,12.25265141608992834224,11.53523061481882864175,11.74955436809236884733,12.20045850717174479495,12.67565274166473555783,11.1105385156338192,12.3444671643850487,12.6759388893936482,11.3337794035184507,12.63687338910319111271,12.21475633932853638349,12.05434084898939871649,11.90786171506034915459,12.0870952228031253,13.7396486635192592,13.2099952986996429,11.3369091246247537,9.2027734054979957,10.4720735470583857,9.6374869696881609,11.0250312727040627,11.9848276222368146
436796430,32.4963483146067416,32.8977521367521368,33.2497016129032258,33.5318250000000000,32.6630086206896552,33.0377747747747748,33.5010066225165563,32.6302513966480447,32.8444876543209877,32.1396610169491525,31.6569750000000000,31.3608205128205128,31.7877572016460905,33.1105000000000000,34.1067732793522267,34.9031725663716814,35.6339248120300752,37.0625238095238095,35.7820131578947368,34.6970227272727273,35.8636666666666667,37.9308235294117647,33.5806428571428571,33.6923000000000000,8.8278420562890973,9.82751571280708181957,9.0810705209491470,7.7760859777482742,8.82284035555756683747,8.1057701597616795,7.9905653518624141,9.4277828889467601,9.2780915818520873,8.3423310206894249,7.9780437318618403,9.3195408789742317,9.3502331611957292,9.74857569630649413971,10.26973521807610736759,9.6413163566234863,9.6233707426830345,10.51185452171567515716,8.22707360039496604683,7.5870055747250569,7.4034829265991047,8.1456712394483777,8.3394304875778452,7.8804830287658552
436796431,34.9805000000000000,36.3536571428571429,36.3135643564356436,35.9642966101694915,35.3591338582677165,35.7078677685950413,35.9882987804878049,36.0048062500000000,35.7513163841807910,34.7881695906432749,34.7588733031674208,34.2010686274509804,34.0185461847389558,34.7873783783783784,35.7964812834224599,35.7539631901840491,36.8228064516129032,35.7934428571428571,36.4557692307692308,35.9470434782608696,35.3312500000000000,35.1182727272727273,41.1118571428571429,35.8338181818181818,9.7671439597476387,10.2268870288079354,9.3189481378554524,9.6115702010032450,9.30427952801467970095,9.7111544751213499,10.07402940250022420939,9.5292091047735961,10.9784594516809775,7.9863009446036892,10.3992099266986389,9.2575401904313103,8.47416398880957152033,8.88994367248746970372,8.85324384793596672910,8.1965268347864410,9.1511029948037071,8.2524280106783465,9.8800125726588747,8.8782417398550456,5.8530778655336544,7.1083846266222820,12.3859493609262173,8.0344710183965780
436796432,29.3672894736842105,31.1515294117647059,33.0856829268292683,32.8915731707317073,32.8397804878048780,32.5588433734939759,32.8427310924369748,32.5492689655172414,32.5440000000000000,31.9642160000000000,31.1369753086419753,29.5510174418604651,29.2874334975369458,31.4645583756345178,32.8743352272727273,34.3264088050314465,36.6019868421052632,35.4365849056603774,35.9808461538461538,35.6944375000000000,36.7902500000000000,41.6487142857142857,36.9736666666666667,33.5868947368421053,11.6373572013399566,11.8568989026741429,11.3851855732168620,11.2461447399628964,10.7491908498653641,11.14435824904837354002,13.2923189686008216,10.78641684393081865837,13.5967494876007563,11.2696738210118575,11.7469546539507553,11.4434726984933551,10.4082048976813589,11.0606554016344612,11.3757808226013056,11.6338273070954923,11.0906635366965545,10.6498565000519192,11.1628282258574596,9.4953849053105794,9.17619499711073053655,6.9019432253325792,13.9669755554546120,10.1538792405454058
436796433,39.6804000000000000,39.6652500000000000,39.6517049180327869,40.9412435897435897,39.6132328767123288,40.0936987951807229,39.8128407079646018,39.5440325203252033,39.4569558823529412,39.1556148648648649,38.1697792207792208,37.3047046632124352,37.2320779816513761,37.7837356828193833,39.3065141509433962,39.6389542857142857,40.4438737864077670,40.5752531645569620,40.2295660377358491,40.5616363636363636,40.0855555555555556,40.7363846153846154,39.3082500000000000,40.5002857142857143,14.2636581773400613,8.21176070492802414321,8.0401944047127225,12.2342026738199234,9.7146979895103924,10.97085728547743223317,10.52730460338207277291,11.2161384863381322,10.1617465609568145,9.6499755566137702,9.22193632194313224071,10.66180337621926986555,9.9814352631695226,9.4434913324604427,10.74310620509553857547,10.8167669587543579,10.8919348366319606,8.9704373360500100,8.3893168768605563,9.9364255493094546,6.9724938309203417,7.5719567230263945,5.7601361312038451,8.4769481283908168
436796435,32.5819574468085106,32.9341250000000000,32.9920444444444444,33.5196875000000000,33.5809722222222222,32.0205294117647059,33.8731190476190476,32.8303797468354430,32.7920655737704918,33.1382807017543860,31.7482040816326531,30.1902580645161290,30.3129154929577465,30.7675844155844156,31.4154400000000000,31.8734742268041237,31.5721166666666667,33.6993684210526316,34.1397200000000000,32.4117368421052632,32.9900000000000000,37.3500000000000000,31.2380000000000000,32.3609000000000000,8.5453800271556465,7.10748947916411420618,8.3815607231323902,12.65468760726632872182,10.1440801798114966,6.9103506763830904,10.3569793617637377,9.7110150892319768,12.5770760402134595,9.5656763189330472,10.7181741429771365,7.8777888886535636,7.93891794964953681967,9.00099692458361171968,9.7816861757061088,7.9618510410582287,8.1824926387582735,12.9838542438798114,12.8681268691290109,9.0643158101018942,5.1829725061975777,21.6860000000000000,7.6030000000000000,6.6612459720385645
436796436,62.1694687500000000,58.2424090909090909,59.6696643835616438,58.0319602272727273,56.3531008771929825,57.0173823529411765,56.6395252808988764,58.1222925531914894,57.6536676646706587,56.9821836158192090,57.1118800000000000,54.8644425287356322,54.8338139534883721,58.0824256756756757,61.5903311111111111,66.2312060810810811,69.5483797468354430,71.8694042553191489,73.1160434782608696,70.8390000000000000,69.7260000000000000,68.3746666666666667,73.0922500000000000,66.4145128205128205,14.3955718542340883,12.9640730846127915,13.3787013902848941,14.6187850182253829,13.1112186964500120,12.8889826368012734,13.0715589806798966,13.1230218284347324,13.7228303046005154,12.5032057300617344,14.0187686890349491,12.9248879887985298,13.2257714556722331,12.8816339377194462,13.2200272818679665,13.5762781738609810,13.5515613830186195,13.1941679734130374,12.7804562252717315,12.3150139007229708,10.6910000000000000,9.3233379394578063,19.1636790939700998,14.2212778610081309
440744016,29.5161716080402010,29.0736611111111111,29.1425385634588563,29.3343985611510791,29.6254370786516854,29.7715751838235294,29.5398398348813209,29.4932425411522634,29.5610139910813824,29.4422181159420290,29.6502627035830619,30.2358351207729469,29.2162947472353870,30.4519454608454608,31.3775159075907591,32.6082359953703704,33.3516386034255599,34.7487082191780822,33.5936337448559671,33.5789186991869919,35.9703630952380952,35.2425869565217391,32.4340123456790123,30.9190341365461847,14.3662848612351448,12.8846530076911114,15.3037675737875234,15.0628752524776171,15.2494918836759812,14.99775961315662182543,14.4602888911755103,15.0881390479798018,15.3530155254150100,15.3177635592133464,15.8448649631098361,17.5771884686451073,15.2675598190463809,14.7096858211778816,14.3819914497721814,14.6026407746608826,14.4365339022587826,14.9337549207412185,14.5085380881233775,14.5174548924692047,12.8284570124948609,12.5978059140401940,14.1343878427143637,14.7735166650194166
