osm_way_id,sudden_traffic_count,total,osm_way_id,avg_hours_in_traffic,percentage
4685092.0,29,15904,4685092.0,1.7586206896551724,0.1823440643863179
4716859.0,124,16857,4716859.0,4.193548387096774,0.735599454232663
4716860.0,162,13923,4716860.0,1.0617283950617284,1.1635423400129283
4716861.0,244,8100,4716861.0,2.3155737704918034,3.0123456790123457
4716862.0,121,17071,4716862.0,2.3884297520661155,0.7088044051315096
4716869.0,13,4600,4716869.0,3.3076923076923075,0.2826086956521739
4716871.0,20,5909,4716871.0,4.2,0.33846674564224066
4716873.0,61,17201,4716873.0,5.754098360655738,0.35463054473577116
4716887.0,2,16755,4716887.0,1.0,0.011936735302894658
4723371.0,24,16208,4723371.0,1.3333333333333333,0.14807502467917077
4723375.0,42,17287,4723375.0,2.4285714285714284,0.24295713541967953
4723377.0,39,16310,4723377.0,1.7692307692307692,0.23911710606989578
4723383.0,74,14936,4723383.0,1.4594594594594594,0.49544724156400644
4723965.0,76,8323,4723965.0,3.3289473684210527,0.9131322840321999
4723967.0,12,11489,4723967.0,4.0,0.10444773261380451
4723976.0,21,14028,4723976.0,3.380952380952381,0.1497005988023952
4723978.0,38,6702,4723978.0,2.526315789473684,0.5669949268874963
4723980.0,85,14886,4723980.0,8.647058823529411,0.571006314658068
4723986.0,47,17378,4723986.0,1.702127659574468,0.270456899528139
4723999.0,1,109,4723999.0,1.0,0.9174311926605505
4724000.0,15,11287,4724000.0,8.866666666666667,0.13289625232568442
4724002.0,109,17284,4724002.0,3.9357798165137616,0.6306410553112706
4724007.0,58,5402,4724007.0,1.2241379310344829,1.0736764161421695
4724011.0,152,9518,4724011.0,1.0460526315789473,1.5969741542340827
4724013.0,468,17023,4724013.0,2.0876068376068377,2.7492216413088175
4724017.0,280,16960,4724017.0,1.5678571428571428,1.650943396226415
4724019.0,152,4864,4724019.0,1.7171052631578947,3.125
4724021.0,48,5767,4724021.0,1.0,0.8323218311080285
4724022.0,122,17128,4724022.0,1.1557377049180328,0.7122839794488557
4724023.0,2,2019,4724023.0,7.5,0.09905894006934125
4724026.0,60,17010,4724026.0,1.45,0.3527336860670194
4724028.0,12,7473,4724028.0,2.75,0.16057808109193095
4726692.0,30,11256,4726692.0,1.2333333333333334,0.26652452025586354
4726913.0,29,15968,4726913.0,1.793103448275862,0.1816132264529058
4726970.0,67,7419,4726970.0,1.1343283582089552,0.9030866693624477
4727387.0,28,6264,4727387.0,3.6785714285714284,0.44699872286079184
4727388.0,44,7152,4727388.0,1.0227272727272727,0.6152125279642058
4727390.0,1,937,4727390.0,5.0,0.10672358591248667
4727393.0,81,10531,4727393.0,1.5185185185185186,0.7691577248124585
4727405.0,82,17363,4727405.0,1.475609756097561,0.4722686171744514
4730069.0,332,14641,4730069.0,7.840361445783133,2.267604671812035
4730070.0,19,14962,4730070.0,1.0,0.12698837053869805
4730072.0,212,15198,4730072.0,4.018867924528302,1.3949203842610869
4730073.0,333,16827,4730073.0,2.4054054054054053,1.9789623818862543
4730074.0,210,17290,4730074.0,1.8904761904761904,1.214574898785425
4730088.0,26,1450,4730088.0,1.2692307692307692,1.793103448275862
4730089.0,60,17377,4730089.0,2.7666666666666666,0.3452839960867814
4734779.0,21,5606,4734779.0,1.1428571428571428,0.3745986443096682
4734780.0,221,8662,4734780.0,1.83710407239819,2.551373816670515
4734781.0,126,12493,4734781.0,1.3492063492063493,1.00856479628592
4734782.0,11,7581,4734782.0,5.909090909090909,0.14509959108297057
4734783.0,106,5382,4734783.0,1.6415094339622642,1.9695280564845783
4734784.0,64,8214,4734784.0,1.609375,0.7791575359142927
4734788.0,79,15489,4734788.0,1.5063291139240507,0.5100393827877849
4734789.0,176,8511,4734789.0,1.8352272727272727,2.0679121137351664
4741880.0,23,13973,4741880.0,3.608695652173913,0.164603163243398
4741883.0,109,16958,4741883.0,2.908256880733945,0.6427644769430357
4741894.0,17,3998,4741894.0,4.705882352941177,0.42521260630315155
4741898.0,5,2340,4741898.0,2.0,0.21367521367521367
4741904.0,237,14272,4741904.0,4.556962025316456,1.6605941704035874
4741905.0,375,12884,4741905.0,1.592,2.9105867742936975
4741906.0,6,480,4741906.0,1.1666666666666667,1.25
4741907.0,154,13926,4741907.0,2.396103896103896,1.1058451816745656
4741908.0,87,11658,4741908.0,1.206896551724138,0.746268656716418
4741909.0,230,10500,4741909.0,1.3434782608695652,2.1904761904761907
4741910.0,37,16566,4741910.0,1.2162162162162162,0.22334902812990462
4741911.0,264,16114,4741911.0,3.7916666666666665,1.6383269206900832
4741913.0,308,8508,4741913.0,2.0,3.620122237893747
4741914.0,112,17362,4741914.0,4.455357142857143,0.6450869715470567
4741915.0,326,17262,4741915.0,2.1901840490797544,1.8885413045996988
4741916.0,364,16936,4741916.0,2.6126373626373627,2.149267831837506
4741921.0,59,7810,4741921.0,2.3389830508474576,0.7554417413572343
4742005.0,30,16556,4742005.0,1.4,0.1812031891761295
4742006.0,348,16433,4742006.0,1.778735632183908,2.117690013996227
4742013.0,447,17138,4742013.0,3.8187919463087248,2.6082390010502974
4742016.0,83,17282,4742016.0,1.5542168674698795,0.4802684874435829
4750299.0,16,14343,4750299.0,8.25,0.11155267377814962
4750303.0,62,6739,4750303.0,1.8870967741935485,0.9200178067962606
4751843.0,42,17180,4751843.0,1.4285714285714286,0.24447031431897556
4751845.0,69,17003,4751845.0,1.9565217391304348,0.4058107392813033
4751848.0,1,1643,4751848.0,2.0,0.06086427267194157
4751849.0,13,13422,4751849.0,1.5384615384615385,0.09685590821040084
