cluster_num,sudden_traffic_count,total,cluster_num,avg_hours_in_traffic,percentage
0.0,106883,9958140,0.0,2.8010160642946027,1.073322929784076
1.0,14791,3254876,1.0,1.7011696301805153,0.4544259136139134
2.0,89243,8535079,2.0,1.9024013087861233,1.0456025070183885
