wayid,num_samples,num_hours_avail
679198781,2765,23
583039630,2759,20
204541547,2755,21
25739413,2741,23
680570300,2715,20
24968900,2689,23
369093060,2687,22
679198330,2670,21
679198782,2653,21
24009502,2651,18
87631545,2641,20
144986350,2636,23
145124067,2623,23
440754736,2607,23
25739466,2603,23
675351289,2597,19
671412064,2566,19
25857933,2559,18
24042675,2551,18
679762384,2550,23
680550225,2535,23
561851740,2532,16
334974175,2526,22
24009547,2511,16
574642937,2509,22
658273344,2496,20
199352851,2473,11
680921641,2473,21
678438288,2469,16
583039631,2457,18
339690992,2429,18
26603590,2410,22
678182382,2397,14
671415238,2387,22
369093057,2386,19
231504730,2375,18
658275746,2365,20
27066715,2363,20
22804895,2345,21
239784683,2342,20
4741898,2340,22
26727414,2318,20
48204361,2317,18
24009800,2315,22
678311112,2299,17
357786419,2276,21
25692547,2275,19
676723291,2270,20
658575812,2241,23
658219771,2241,20
680088158,2208,18
43270180,2191,23
678444142,2189,21
574642939,2186,22
658236298,2179,22
678380868,2167,22
583039632,2163,19
25796457,2141,19
129884912,2109,17
25064195,2090,23
25858035,2088,23
663223954,2078,16
88407202,2070,21
43270179,2048,23
680472383,2046,16
553306830,2044,14
671228928,2025,21
25849930,2024,19
154067944,2020,17
658273345,2011,21
23754698,2007,20
658228774,2000,16
25342197,1981,18
242428503,1979,21
26469187,1964,23
48489702,1964,21
680570299,1961,20
87644065,1955,18
679399973,1951,23
678374457,1920,21
678374460,1915,16
679660004,1913,20
51543073,1896,23
675351291,1892,16
678374458,1889,22
658697088,1863,22
658228771,1840,16
24995153,1839,17
680379510,1836,16
565319248,1824,23
679399972,1821,21
568963406,1817,23
374245890,1812,18
361747501,1794,22
675405811,1789,19
574642936,1782,23
427222042,1763,20
680256933,1762,18
108397868,1756,19
172265332,1752,23
679660003,1747,23
76771109,1726,23
326666388,1721,20
679982427,1717,20
25538524,1693,20
610048830,1685,22
678559795,1682,23
59526797,1681,23
25889453,1677,21
24009479,1673,19
658223906,1673,19
161486816,1671,23
33136150,1668,21
680379511,1668,18
161486815,1656,23
26583498,1656,20
4751848,1643,21
680472384,1632,20
516178119,1632,23
553097296,1631,19
671414958,1627,18
680332717,1611,18
679390764,1608,22
25858056,1606,21
680332723,1592,17
22797663,1592,22
25591711,1581,23
658474427,1579,20
658512110,1571,19
680256932,1569,21
674865918,1566,21
93705264,1563,22
671411446,1557,21
671411074,1541,18
56052351,1537,19
658409693,1522,23
678545472,1508,23
671410463,1507,21
24042624,1507,20
33136013,1502,20
432316790,1500,21
86401948,1500,23
678438301,1491,19
42132384,1469,18
659299028,1456,16
4730088,1450,16
26834561,1446,21
658273343,1442,21
285168911,1439,23
39962873,1438,22
671867941,1430,6
42121197,1412,22
671228929,1409,17
25747870,1407,18
26472561,1403,23
22804437,1398,18
108593073,1396,17
87647444,1392,21
658515442,1372,20
241396755,1370,23
4963148,1368,21
86401852,1367,22
679957404,1345,23
679229881,1335,23
555497908,1331,18
659299029,1330,16
677891197,1324,23
671867938,1313,6
562375927,1279,21
419051572,1276,18
552392392,1265,18
679403621,1261,20
330461525,1260,22
25850274,1259,19
435093684,1258,19
