wayid,num_samples
658236300,15321
43159844,15320
40121544,15319
24716336,15314
532650205,15308
162033249,15300
40006029,15296
247463070,15294
658409703,15293
24717220,15292
41454961,15289
369096480,15286
302568882,15273
427264570,15272
515200202,15263
231026425,15263
687425392,15262
679223092,15261
680305763,15256
231932238,15255
658241802,15255
33136417,15252
639994926,15240
231508270,15237
22797621,15235
679665958,15227
515100445,15226
231932781,15224
402310565,15219
230315367,15217
187198057,15209
4730072,15198
39573564,15197
367770985,15181
658409684,15140
4775791,15134
640005918,15133
231502136,15128
40056255,15125
39571274,15117
658264975,15114
39886466,15097
239784688,15089
655547452,15064
567085672,15052
197833190,15046
678371492,15046
419291435,15033
614460294,15029
567085671,15014
640006542,15010
567085642,15005
239805677,15004
291880304,15003
639986097,15002
180751763,14993
4730070,14962
187198061,14962
239805676,14955
4752664,14953
154232836,14949
658575815,14938
4723383,14936
567085657,14928
278017676,14924
554225131,14922
40317988,14913
678333306,14910
532657335,14902
529985778,14902
4723980,14886
162030307,14877
230315381,14874
680050187,14872
311725595,14861
39885368,14860
680062809,14857
680071832,14857
40056253,14853
345017134,14847
678331781,14845
680884708,14844
658575807,14839
22804533,14833
33174300,14825
563369098,14822
239559103,14817
97815362,14817
680311066,14812
678371493,14810
512997820,14810
643721757,14806
670265155,14802
26723454,14800
231026430,14800
22797595,14799
184369593,14796
312485791,14796
22797599,14780
24008123,14779
25748335,14770
24026994,14766
305664823,14762
24009167,14753
183810315,14751
312906757,14743
26723196,14739
678371496,14738
643635634,14737
561747151,14735
344195610,14732
39573542,14730
40478817,14726
680354995,14725
40006040,14724
679646334,14724
231355849,14719
658697091,14718
640073511,14710
427264567,14709
25748334,14709
24025777,14689
231508275,14687
665118550,14682
239559099,14677
471508538,14675
311725582,14669
231355848,14668
658575811,14666
311715904,14662
640088048,14658
654285028,14648
311725587,14645
4730069,14641
40121543,14629
658240391,14623
678652462,14619
34304803,14611
231502132,14610
665118551,14608
583707638,14606
239183919,14602
658575808,14600
22797594,14597
100788272,14594
4752669,14586
679646335,14585
654285034,14581
367770984,14574
658223874,14570
679968814,14560
278017675,14560
583707631,14556
427264574,14553
40478816,14552
680005245,14551
658223878,14549
658236299,14548
231508276,14540
24009413,14538
26584090,14525
680308726,14525
427222047,14512
427222045,14507
658273333,14501
227699767,14500
678371497,14498
4775770,14494
678356730,14494
567085665,14490
658240408,14471
679837857,14469
369093688,14468
265007049,14459
231502123,14459
24009876,14456
658264976,14449
679519426,14448
336070975,14444
239559101,14436
239805669,14433
678331782,14432
660654140,14428
678324222,14417
180750385,14413
685864460,14413
26791238,14412
226151407,14411
643633768,14411
674984258,14394
427264577,14394
296149415,14390
336024448,14390
680005247,14381
658409700,14378
231510704,14377
326666377,14371
239559113,14366
658240392,14360
231510700,14354
4750299,14343
26469164,14331
245261814,14330
372934056,14325
309003698,14319
658697090,14312
305664826,14309
658575806,14307
658575803,14299
680915356,14298
658421885,14293
563369103,14292
567085654,14291
52498281,14282
4741904,14272
369096481,14272
294960057,14254
679633502,14251
311725597,14248
24009354,14247
658219775,14244
658273338,14244
182627117,14240
658513183,14238
26584130,14228
239559123,14224
24009331,14219
658575809,14208
22797598,14208
532657338,14206
679947306,14199
658513181,14198
